Dataset identifier code,Start Date,End Date,All aged 16 & over level,Total economically active level,Total in employment level,Unemployed level,Economically inactive level,Economic activity rate,Employment rate,Unemployment rate,Economic inactivity rate
Feb-Apr 1987,1987-02-01,1987-04-30,44407000.0,28060000.0,24970000.0,3090000.0,16347000.0,63.2,56.2,11.0,36.8
Mar-May 1987,1987-03-01,1987-05-31,44425000.0,28092000.0,25031000.0,3061000.0,16333000.0,63.2,56.3,10.9,36.8
Apr-Jun 1987,1987-04-01,1987-06-30,44443000.0,28131000.0,25110000.0,3021000.0,16312000.0,63.3,56.5,10.7,36.7
May-Jul 1987,1987-05-01,1987-07-31,44461000.0,28163000.0,25190000.0,2973000.0,16298000.0,63.3,56.7,10.6,36.7
Jun-Aug 1987,1987-06-01,1987-08-31,44479000.0,28199000.0,25270000.0,2929000.0,16279000.0,63.4,56.8,10.4,36.6
Jul-Sep 1987,1987-07-01,1987-09-30,44491000.0,28230000.0,25345000.0,2885000.0,16261000.0,63.5,57.0,10.2,36.5
Aug-Oct 1987,1987-08-01,1987-10-31,44504000.0,28258000.0,25420000.0,2838000.0,16245000.0,63.5,57.1,10.0,36.5
Sep-Nov 1987,1987-09-01,1987-11-30,44516000.0,28283000.0,25495000.0,2788000.0,16233000.0,63.5,57.3,9.9,36.5
Oct-Dec 1987,1987-10-01,1987-12-31,44528000.0,28316000.0,25575000.0,2741000.0,16212000.0,63.6,57.4,9.7,36.4
Nov-Jan 1988,1987-11-01,1988-01-31,44541000.0,28352000.0,25655000.0,2697000.0,16189000.0,63.7,57.6,9.5,36.3
Dec-Feb 1988,1987-12-01,1988-02-29,44553000.0,28387000.0,25730000.0,2657000.0,16166000.0,63.7,57.8,9.4,36.3
Jan-Mar 1988,1988-01-01,1988-03-31,44565000.0,28407000.0,25795000.0,2613000.0,16158000.0,63.7,57.9,9.2,36.3
Feb-Apr 1988,1988-02-01,1988-04-30,44578000.0,28429000.0,25860000.0,2569000.0,16149000.0,63.8,58.0,9.0,36.2
Mar-May 1988,1988-03-01,1988-05-31,44590000.0,28439000.0,25913000.0,2526000.0,16152000.0,63.8,58.1,8.9,36.2
Apr-Jun 1988,1988-04-01,1988-06-30,44603000.0,28460000.0,25970000.0,2490000.0,16143000.0,63.8,58.2,8.7,36.2
May-Jul 1988,1988-05-01,1988-07-31,44615000.0,28482000.0,26030000.0,2452000.0,16133000.0,63.8,58.3,8.6,36.2
Jun-Aug 1988,1988-06-01,1988-08-31,44627000.0,28516000.0,26100000.0,2416000.0,16112000.0,63.9,58.5,8.5,36.1
Jul-Sep 1988,1988-07-01,1988-09-30,44640000.0,28545000.0,26160000.0,2385000.0,16094000.0,63.9,58.6,8.4,36.1
Aug-Oct 1988,1988-08-01,1988-10-31,44652000.0,28591000.0,26230000.0,2361000.0,16061000.0,64.0,58.7,8.3,36.0
Sep-Nov 1988,1988-09-01,1988-11-30,44664000.0,28623000.0,26290000.0,2333000.0,16041000.0,64.1,58.9,8.2,35.9
Oct-Dec 1988,1988-10-01,1988-12-31,44676000.0,28648000.0,26355000.0,2293000.0,16028000.0,64.1,59.0,8.0,35.9
Nov-Jan 1989,1988-11-01,1989-01-31,44688000.0,28683000.0,26430000.0,2253000.0,16005000.0,64.2,59.1,7.9,35.8
Dec-Feb 1989,1988-12-01,1989-02-28,44701000.0,28723000.0,26510000.0,2213000.0,15977000.0,64.3,59.3,7.7,35.7
Jan-Mar 1989,1989-01-01,1989-03-31,44713000.0,28769000.0,26590000.0,2179000.0,15944000.0,64.3,59.5,7.6,35.7
Feb-Apr 1989,1989-02-01,1989-04-30,44725000.0,28800000.0,26660000.0,2140000.0,15925000.0,64.4,59.6,7.4,35.6
Mar-May 1989,1989-03-01,1989-05-31,44737000.0,28815000.0,26709000.0,2106000.0,15922000.0,64.4,59.7,7.3,35.6
Apr-Jun 1989,1989-04-01,1989-06-30,44750000.0,28813000.0,26730000.0,2083000.0,15937000.0,64.4,59.7,7.2,35.6
May-Jul 1989,1989-05-01,1989-07-31,44762000.0,28821000.0,26750000.0,2071000.0,15941000.0,64.4,59.8,7.2,35.6
Jun-Aug 1989,1989-06-01,1989-08-31,44774000.0,28832000.0,26775000.0,2057000.0,15942000.0,64.4,59.8,7.1,35.6
Jul-Sep 1989,1989-07-01,1989-09-30,44782000.0,28840000.0,26795000.0,2045000.0,15942000.0,64.4,59.8,7.1,35.6
Aug-Oct 1989,1989-08-01,1989-10-31,44790000.0,28854000.0,26820000.0,2034000.0,15935000.0,64.4,59.9,7.1,35.6
Sep-Nov 1989,1989-09-01,1989-11-30,44798000.0,28877000.0,26850000.0,2027000.0,15920000.0,64.5,59.9,7.0,35.5
Oct-Dec 1989,1989-10-01,1989-12-31,44805000.0,28901000.0,26880000.0,2021000.0,15905000.0,64.5,60.0,7.0,35.5
Nov-Jan 1990,1989-11-01,1990-01-31,44813000.0,28902000.0,26890000.0,2012000.0,15912000.0,64.5,60.0,7.0,35.5
Dec-Feb 1990,1989-12-01,1990-02-28,44821000.0,28906000.0,26900000.0,2006000.0,15915000.0,64.5,60.0,6.9,35.5
Jan-Mar 1990,1990-01-01,1990-03-31,44829000.0,28904000.0,26900000.0,2004000.0,15925000.0,64.5,60.0,6.9,35.5
Feb-Apr 1990,1990-02-01,1990-04-30,44836000.0,28914000.0,26910000.0,2004000.0,15923000.0,64.5,60.0,6.9,35.5
Mar-May 1990,1990-03-01,1990-05-31,44844000.0,28925000.0,26922000.0,2004000.0,15919000.0,64.5,60.0,6.9,35.5
Apr-Jun 1990,1990-04-01,1990-06-30,44852000.0,28937000.0,26935000.0,2002000.0,15915000.0,64.5,60.1,6.9,35.5
May-Jul 1990,1990-05-01,1990-07-31,44860000.0,28954000.0,26945000.0,2009000.0,15906000.0,64.5,60.1,6.9,35.5
Jun-Aug 1990,1990-06-01,1990-08-31,44868000.0,28954000.0,26930000.0,2024000.0,15913000.0,64.5,60.0,7.0,35.5
Jul-Sep 1990,1990-07-01,1990-09-30,44875000.0,28949000.0,26900000.0,2049000.0,15926000.0,64.5,59.9,7.1,35.5
Aug-Oct 1990,1990-08-01,1990-10-31,44883000.0,28934000.0,26855000.0,2079000.0,15949000.0,64.5,59.8,7.2,35.5
Sep-Nov 1990,1990-09-01,1990-11-30,44890000.0,28920000.0,26805000.0,2115000.0,15970000.0,64.4,59.7,7.3,35.6
Oct-Dec 1990,1990-10-01,1990-12-31,44898000.0,28908000.0,26750000.0,2158000.0,15990000.0,64.4,59.6,7.5,35.6
Nov-Jan 1991,1990-11-01,1991-01-31,44905000.0,28881000.0,26685000.0,2196000.0,16025000.0,64.3,59.4,7.6,35.7
Dec-Feb 1991,1990-12-01,1991-02-28,44913000.0,28859000.0,26615000.0,2244000.0,16053000.0,64.3,59.3,7.8,35.7
Jan-Mar 1991,1991-01-01,1991-03-31,44920000.0,28836000.0,26530000.0,2306000.0,16085000.0,64.2,59.1,8.0,35.8
Feb-Apr 1991,1991-02-01,1991-04-30,44928000.0,28828000.0,26450000.0,2378000.0,16100000.0,64.2,58.9,8.2,35.8
Mar-May 1991,1991-03-01,1991-05-31,44935000.0,28807000.0,26365000.0,2442000.0,16128000.0,64.1,58.7,8.5,35.9
Apr-Jun 1991,1991-04-01,1991-06-30,44941000.0,28767000.0,26275000.0,2492000.0,16174000.0,64.0,58.5,8.7,36.0
May-Jul 1991,1991-05-01,1991-07-31,44947000.0,28730000.0,26190000.0,2540000.0,16217000.0,63.9,58.3,8.8,36.1
Jun-Aug 1991,1991-06-01,1991-08-31,44952000.0,28690000.0,26105000.0,2585000.0,16262000.0,63.8,58.1,9.0,36.2
Jul-Sep 1991,1991-07-01,1991-09-30,44958000.0,28649000.0,26025000.0,2624000.0,16309000.0,63.7,57.9,9.2,36.3
Aug-Oct 1991,1991-08-01,1991-10-31,44964000.0,28607000.0,25955000.0,2652000.0,16357000.0,63.6,57.7,9.3,36.4
Sep-Nov 1991,1991-09-01,1991-11-30,44970000.0,28560000.0,25885000.0,2675000.0,16409000.0,63.5,57.6,9.4,36.5
Oct-Dec 1991,1991-10-01,1991-12-31,44975000.0,28517000.0,25820000.0,2697000.0,16459000.0,63.4,57.4,9.5,36.6
Nov-Jan 1992,1991-11-01,1992-01-31,44981000.0,28489000.0,25775000.0,2714000.0,16492000.0,63.3,57.3,9.5,36.7
Dec-Feb 1992,1991-12-01,1992-02-29,44987000.0,28476000.0,25740000.0,2735000.0,16511000.0,63.3,57.2,9.6,36.7
Jan-Mar 1992,1992-01-01,1992-03-31,44992000.0,28472000.0,25710000.0,2762000.0,16520000.0,63.3,57.1,9.7,36.7
Feb-Apr 1992,1992-02-01,1992-04-30,44998000.0,28467000.0,25685000.0,2782000.0,16531000.0,63.3,57.1,9.8,36.7
Mar-May 1992,1992-03-01,1992-05-31,44992004.0,28431675.40138793,25635937.039723113,2795738.3616648186,16560328.59861207,63.19272953787062,56.97887348988303,9.833181907839103,36.80727046212938
Apr-Jun 1992,1992-04-01,1992-06-30,44995845.08333333,28382788.319427688,25605420.66567693,2777367.6537507586,16613056.76390564,63.0786870806896,56.906189045355426,9.785393959513424,36.9213129193104
May-Jul 1992,1992-05-01,1992-07-31,44999444.16666667,28344255.93322379,25541631.02414252,2802624.9090812695,16655188.23344288,62.98801342577425,56.75988114329304,9.887805542272732,37.011986574225745
Jun-Aug 1992,1992-06-01,1992-08-31,45000599.25,28341195.678697743,25525069.839521334,2816125.839176409,16659403.571302261,62.97959616326163,56.72162207822451,9.93651034029277,37.020403836738375
Jul-Sep 1992,1992-07-01,1992-09-30,45003489.333333336,28323529.820289146,25509004.98281585,2814524.837473295,16679959.513044182,62.93629725131198,56.68228255341471,9.937055357617014,37.06370274868801
Aug-Oct 1992,1992-08-01,1992-10-31,45006042.416666664,28304301.197930403,25454432.116793375,2849869.0811370304,16701741.218736267,62.89000249319575,56.55781035163198,10.068678471190843,37.10999750680426
Sep-Nov 1992,1992-09-01,1992-11-30,45007256.5,28305230.433747776,25406419.09858323,2898811.3351645404,16702026.066252224,62.890370653336255,56.44960629533868,10.241256795098703,37.109629346663745
Oct-Dec 1992,1992-10-01,1992-12-31,45009749.583333336,28267348.070938393,25335707.76036243,2931640.310575964,16742401.51239493,62.80272237152262,56.289377290257114,10.37111901413199,37.19727762847735
Nov-Jan 1993,1992-11-01,1993-01-31,45011776.666666664,28283919.888446037,25301163.589961484,2982756.2984845517,16727856.778220635,62.83671070773708,56.21009758696813,10.545767030343647,37.163289292262924
Dec-Feb 1993,1992-12-01,1993-02-28,45014156.75,28297569.027673624,25274285.849734027,3023283.177939596,16716587.722326377,62.863710154191935,56.14741600093181,10.683897174993987,37.136289845808065
Jan-Mar 1993,1993-01-01,1993-03-31,45015604.83333333,28285815.98186159,25282289.152509775,3003526.8293518117,16729788.851471744,62.83557909882042,56.16338877621533,10.618491017822631,37.1644209011796
Feb-Apr 1993,1993-02-01,1993-04-30,45018512.91666667,28246691.981196113,25258217.386197217,2988474.594998896,16771820.935470555,62.74461360703604,56.106289945544084,10.579910019156687,37.25538639296395
Mar-May 1993,1993-03-01,1993-05-31,45020243.0,28237916.683222722,25285871.46123015,2952045.22199257,16782326.316777278,62.7227104998583,56.165559704398206,10.454189149677951,37.2772895001417
Apr-Jun 1993,1993-04-01,1993-06-30,45021999.333333336,28223810.958488174,25292830.156229567,2930980.8022586056,16798188.374845166,62.68893291371861,56.17882486507722,10.384780448570599,37.311067086281405
May-Jul 1993,1993-05-01,1993-07-31,45024269.66666667,28220405.772841424,25293401.338799637,2927004.434041789,16803863.893825233,62.678208845515506,56.17726067753496,10.3719431166318,37.321791154484465
Jun-Aug 1993,1993-06-01,1993-08-31,45028605.0,28184433.881839216,25278198.83882899,2906235.043010229,16844171.11816078,62.592287462245864,56.13809008480052,10.311489864207903,37.40771253775412
Jul-Sep 1993,1993-07-01,1993-09-30,45032827.333333336,28205762.997689985,25315638.57803362,2890124.4196563703,16827064.33564335,62.63378221605033,56.21596527938845,10.246574148315249,37.36621778394967
Aug-Oct 1993,1993-08-01,1993-10-31,45036820.66666667,28211588.831679665,25319688.359921604,2891900.4717580564,16825231.834987003,62.64116430527711,56.21997286913637,10.250753649545082,37.358835694722885
Sep-Nov 1993,1993-09-01,1993-11-30,45041282.0,28204625.870460004,25319175.86501772,2885450.0054422794,16836656.12954,62.61950064045691,56.21326645413362,10.23041404163543,37.380499359543094
Oct-Dec 1993,1993-10-01,1993-12-31,45046031.333333336,28212834.270915087,25320371.44924596,2892462.821669126,16833197.062418252,62.63112073546432,56.209993865784334,10.252294377424521,37.36887926453569
Nov-Jan 1994,1993-11-01,1994-01-31,45051137.66666667,28213790.598467216,25321620.58059661,2892170.0178706073,16837347.068199452,62.62614455426415,56.206395425463526,10.250909064405304,37.373855445735835
Dec-Feb 1994,1993-12-01,1994-02-28,45054060.0,28207114.906606648,25361991.805681404,2845123.1009252453,16846945.093393356,62.60726537543264,56.29235590684036,10.08654415861178,37.39273462456737
Jan-Mar 1994,1994-01-01,1994-03-31,45058765.33333333,28213697.009844337,25407613.345560946,2806083.664283388,16845068.323489,62.61533533181958,56.38772646698563,9.945820511591542,37.384664668180434
Feb-Apr 1994,1994-02-01,1994-04-30,45063571.666666664,28220168.76418329,25450818.05527576,2769350.7089075325,16843402.902483374,62.623018372637404,56.47758735932958,9.813374016467117,37.376981627362596
Mar-May 1994,1994-03-01,1994-05-31,45067064.0,28205112.8463818,25455374.68391858,2749738.1624632194,16861951.153618205,62.58475778759806,56.48332157585988,9.749076975651812,37.41524221240196
Apr-Jun 1994,1994-04-01,1994-06-30,45071766.25,28187095.76344826,25451127.30303444,2735968.4604138164,16884670.486551747,62.53825423015957,56.46800518502965,9.706457463282527,37.46174576984044
May-Jul 1994,1994-05-01,1994-07-31,45075663.5,28220925.350913115,25515526.454187684,2705398.8967254297,16854738.149086885,62.60789783141654,56.60599195436732,9.586499602990141,37.39210216858346
Jun-Aug 1994,1994-06-01,1994-08-31,45087731.75,28208421.727233,25517447.600211244,2690974.1270217574,16879310.022767004,62.56340834274281,56.595101615887444,9.53961250665731,37.436591657257196
Jul-Sep 1994,1994-07-01,1994-09-30,45098923.0,28198337.638899814,25559033.90879756,2639303.730102255,16900585.361100186,62.52552336759752,56.67326891331209,9.359784835192967,37.47447663240248
Aug-Oct 1994,1994-08-01,1994-10-31,45111689.25,28168821.351690486,25560955.21912323,2607866.1325672576,16942867.898309514,62.44239978597229,56.66148983574857,9.257988113907196,37.55760021402771
Sep-Nov 1994,1994-09-01,1994-11-30,45122388.5,28149483.53527994,25593847.797155134,2555635.7381248027,16972904.964720063,62.38473731345127,56.72095083609135,9.07880151663105,37.615262686548746
Oct-Dec 1994,1994-10-01,1994-12-31,45134209.75,28120555.63065452,25599890.709056385,2520664.921598131,17013654.11934548,62.30430484197084,56.719483626400226,8.96378064041639,37.69569515802917
Nov-Jan 1995,1994-11-01,1995-01-31,45146016.00000001,28080195.86459235,25583136.630011,2497059.2345813457,17065820.135407645,62.19861319455596,56.667539899890606,8.89259906384772,37.80138680544401
Dec-Feb 1995,1994-12-01,1995-02-28,45157461.0,28133530.390960258,25637642.645683646,2495887.745276613,17023930.609039742,62.300957068778196,56.77387983722922,8.871576764779514,37.699042931221804
Jan-Mar 1995,1995-01-01,1995-03-31,45169272.0,28167447.01964216,25670256.672605384,2497190.347036775,17001824.98035784,62.3597542586964,56.83123844149045,8.865518927914893,37.6402457413036
Feb-Apr 1995,1995-02-01,1995-04-30,45181602.0,28194729.10562045,25704882.005679622,2489847.099940832,16986872.89437955,62.40311953883453,56.8923651836861,8.830895628092755,37.59688046116547
Mar-May 1995,1995-03-01,1995-05-31,45193102.0,28206094.31072658,25733377.102336276,2472717.208390305,16987007.689273417,62.41238831254952,56.94094001853707,8.766606184997219,37.587611687450476
Apr-Jun 1995,1995-04-01,1995-06-30,45204634.0,28214818.947090555,25770282.576558918,2444536.370531641,16989815.05290945,62.415766815168894,57.008054918792,8.664015796506522,37.58423318483111
May-Jul 1995,1995-05-01,1995-07-31,45215891.0,28238828.444985166,25790936.24014736,2447892.2048378093,16977062.555014834,62.45332740426406,57.03954001514061,8.66853314969064,37.54667259573594
Jun-Aug 1995,1995-06-01,1995-08-31,45227791.0,28276107.475459583,25837532.280971706,2438575.1944878697,16951683.524540417,62.5193202017308,57.127557436912426,8.62415449723507,37.4806797982692
Jul-Sep 1995,1995-07-01,1995-09-30,45242060.0,28299548.193891026,25852195.553784505,2447352.640106525,16942511.80610897,62.55141386994983,57.14195055173108,8.648027252374407,37.44858613005016
Aug-Oct 1995,1995-08-01,1995-10-31,45255123.0,28306684.315120228,25869127.438516594,2437556.876603631,16948438.684879772,62.54912690242877,57.16287068431257,8.611241251246058,37.45087309757123
Sep-Nov 1995,1995-09-01,1995-11-30,45268378.0,28312374.857116744,25891047.023099776,2421327.834016967,16956003.142883256,62.54338261714777,57.19455427163699,8.552189091295284,37.45661738285223
Oct-Dec 1995,1995-10-01,1995-12-31,45282525.0,28335299.15388194,25982367.100211836,2352932.053670103,16947225.846118063,62.57446808428183,57.37835312896495,8.30388993210171,37.42553191571818
Nov-Jan 1996,1995-11-01,1996-01-31,45295044.0,28363066.953313977,25986543.987143554,2376522.96617042,16931977.046686023,62.61847753876556,57.37171595891054,8.378935078079573,37.38152246123444
Dec-Feb 1996,1995-12-01,1996-02-29,45308015.0,28337987.25498008,25981026.134781294,2356961.1201987835,16970027.74501992,62.54519703628614,57.343112768858425,8.317320136364216,37.45480296371386
Jan-Mar 1996,1996-01-01,1996-03-31,45321991.0,28300836.76878027,25970488.807203438,2330347.96157683,17021154.231219728,62.44393978362572,57.302179878204015,8.234201626672487,37.55606021637427
Feb-Apr 1996,1996-02-01,1996-04-30,45334274.0,28326875.99502519,25977271.173707776,2349604.8213174185,17007398.004974812,62.48445931884823,57.30161505113719,8.294613291384689,37.515540681151776
Mar-May 1996,1996-03-01,1996-05-31,45347922.0,28348965.107137553,26001741.73097655,2347223.3761610007,16998956.89286245,62.51436417998944,57.3383312491729,8.279749780248695,37.48563582001056
Apr-Jun 1996,1996-04-01,1996-06-30,45361476.0,28349552.808755703,26009334.063399702,2340218.745356001,17011923.191244293,62.49698049674509,57.33793596883775,8.25487005436371,37.503019503254905
May-Jul 1996,1996-05-01,1996-07-31,45374773.0,28320146.540149957,26005670.858886257,2314475.6812636997,17054626.45985004,62.41385833522507,57.313059965911584,8.172541331954013,37.58614166477492
Jun-Aug 1996,1996-06-01,1996-08-31,45387921.0,28348073.682169784,26062886.39652835,2285187.2856414355,17039847.317830212,62.457308150707725,57.42251643675935,8.061173084500481,37.54269184929227
Jul-Sep 1996,1996-07-01,1996-09-30,45401124.0,28346818.4720295,26061643.271216262,2285175.200813237,17054305.5279705,62.43638036809287,57.40307942864204,8.061487404902513,37.56361963190713
Aug-Oct 1996,1996-08-01,1996-10-31,45415149.0,28407353.70154827,26119989.336988673,2287364.364559601,17007795.29845173,62.55039194421287,57.513825038840395,8.052014941592162,37.44960805578713
Sep-Nov 1996,1996-09-01,1996-11-30,45427994.0,28438811.45674336,26176607.763731267,2262203.6930120923,16989182.54325664,62.60195300885035,57.622196048831185,7.954635152221464,37.39804699114964
Oct-Dec 1996,1996-10-01,1996-12-31,45441367.0,28427461.112253163,26198266.598647714,2229194.5136054475,17013905.887746833,62.55855179764544,57.65290159217198,7.841694004268963,37.44144820235455
Nov-Jan 1997,1996-11-01,1997-01-31,45454142.0,28439369.283835255,26257957.812753573,2181411.4710816797,17014772.716164745,62.567167770618695,57.768019937002826,7.670393282320713,37.432832229381305
Dec-Feb 1997,1996-12-01,1997-02-28,45467118.0,28455598.620281205,26324277.50377623,2131321.116504971,17011519.3797188,62.58500620224313,57.89739632007516,7.48998868358338,37.41499379775687
Jan-Mar 1997,1997-01-01,1997-03-31,45480569.0,28465797.808055535,26381144.61852503,2084653.1895305077,17014771.191944458,62.58892189333765,58.0053090772128,7.323361191515847,37.41107810666234
Feb-Apr 1997,1997-02-01,1997-04-30,45492762.0,28479681.267101526,26427636.274167825,2052044.9929337038,17013080.732898474,62.60266472082202,58.09195817604529,7.20529479838012,37.39733527917798
Mar-May 1997,1997-03-01,1997-05-31,45506849.0,28497339.1164459,26449861.447065152,2047477.669380749,17009509.8835541,62.62208819697865,58.12281453955459,7.184802977619562,37.37791180302135
Apr-Jun 1997,1997-04-01,1997-06-30,45520283.0,28564374.90754979,26513530.313722163,2050844.593827629,16955908.092450205,62.75087285276717,58.245530489610886,7.179728597125977,37.24912714723282
May-Jul 1997,1997-05-01,1997-07-31,45532787.0,28576879.340463392,26493498.806161545,2083380.5343018482,16955907.659536608,62.76110298379801,58.18554178588178,7.290441022200378,37.23889701620199
Jun-Aug 1997,1997-06-01,1997-08-31,45547280.0,28530816.47176943,26508630.541110307,2022185.9306591186,17016463.528230578,62.6400006142396,58.20024936968862,7.08772541669119,37.35999938576042
Jul-Sep 1997,1997-07-01,1997-09-30,45561382.0,28522734.965619188,26571765.27754807,1950969.6880711168,17038647.034380816,62.60287487684019,58.32080615453691,6.840051244814995,37.39712512315982
Aug-Oct 1997,1997-08-01,1997-10-31,45575999.0,28512110.299995333,26603257.935036827,1908852.364958507,17063888.700004667,62.55948509213223,58.37120089246278,6.694882787959822,37.44051490786777
Sep-Nov 1997,1997-09-01,1997-11-30,45590336.0,28509246.38009063,26622418.578724883,1886827.801365747,17081089.619909372,62.53352986933597,58.39487249825245,6.618301221330807,37.466470130664035
Oct-Dec 1997,1997-10-01,1997-12-31,45605270.0,28500146.227915082,26635966.36871153,1864179.8592035542,17105123.772084918,62.493098336913874,58.40545702001442,6.540948401793262,37.506901663086126
Nov-Jan 1998,1997-11-01,1998-01-31,45620351.0,28453339.439137682,26632104.662694603,1821234.7764430775,17167011.560862318,62.36983893249239,58.377684693163815,6.4007768941805185,37.63016106750761
Dec-Feb 1998,1997-12-01,1998-02-28,45633667.0,28473509.88124499,26657639.579789422,1815870.3014555674,17160157.118755013,62.39584007405101,58.41660627402444,6.377402396223901,37.604159925949
Jan-Mar 1998,1998-01-01,1998-03-31,45648490.0,28489861.22459892,26676556.544062994,1813304.680535928,17158628.77540108,62.41139898515574,58.439077708951594,6.364736796156352,37.58860101484425
Feb-Apr 1998,1998-02-01,1998-04-30,45661931.0,28505918.827278323,26706850.058219012,1799068.7690593111,17156012.172721677,62.42819390900994,58.48821868312799,6.311211296012386,37.57180609099006
Mar-May 1998,1998-03-01,1998-05-31,45676887.0,28494810.167779908,26708179.165361077,1786631.0024188277,17182076.83222009,62.383432933553266,58.47197766643133,6.270022477423046,37.616567066446734
Apr-Jun 1998,1998-04-01,1998-06-30,45690832.0,28505236.583427943,26714031.488961138,1791205.09446681,17185595.416572053,62.38721278576836,58.46694034584693,6.283775576548489,37.61278721423163
May-Jul 1998,1998-05-01,1998-07-31,45706433.0,28570674.693407454,26770472.220705442,1800202.4727020115,17135758.306592546,62.50908858586154,58.57046910815692,6.300874907645775,37.49091141413846
Jun-Aug 1998,1998-06-01,1998-08-31,45724338.0,28631650.42788528,26824426.700127482,1807223.7277577957,17092687.57211472,62.617966011635374,58.66553322243284,6.311978879141675,37.38203398836462
Jul-Sep 1998,1998-07-01,1998-09-30,45743043.0,28619449.110408492,26833563.129395835,1785885.9810126582,17123593.889591508,62.56568700601858,58.66151740144579,6.240113057812691,37.434312993981415
Aug-Oct 1998,1998-08-01,1998-10-31,45760457.0,28660220.165204532,26878358.195725407,1781861.9694791199,17100236.83479547,62.63097452283864,58.73708428157832,6.217195678218907,37.369025477161365
Sep-Nov 1998,1998-09-01,1998-11-30,45778472.0,28706346.27552891,26938697.036630657,1767649.2388982568,17072125.724471085,62.70708702450556,58.845775884854035,6.157694963796601,37.29291297549443
Oct-Dec 1998,1998-10-01,1998-12-31,45796067.0,28719337.01997897,26955075.7201851,1764261.2997938688,17076729.98002103,62.71136126161002,58.858931532668734,6.1431129087922125,37.28863873838998
Nov-Jan 1999,1998-11-01,1999-01-31,45814915.0,28790422.18366504,27000226.558118545,1790195.625546496,17024492.816334963,62.84071941127696,58.93326781926484,6.21802491858632,37.15928058872305
Dec-Feb 1999,1998-12-01,1999-02-28,45833107.0,28812263.379730493,27018057.796634655,1794205.5830958323,17020843.62026951,62.86343053227985,58.94878083790971,6.227228869350337,37.13656946772016
Jan-Mar 1999,1999-01-01,1999-03-31,45851259.0,28815605.45713453,27035943.855992917,1779661.6011416127,17035653.54286547,62.84583255856623,58.96445254860486,6.176034037490549,37.15416744143376
Feb-Apr 1999,1999-02-01,1999-04-30,45869496.0,28815581.01984583,27042187.899635136,1773393.120210696,17053914.98015417,62.82079275483172,58.954621824567546,6.154285485305076,37.17920724516827
Mar-May 1999,1999-03-01,1999-05-31,45887701.0,28818965.542819925,27058486.80534295,1760478.737476977,17068735.457180075,62.80324556425244,58.966751908845794,6.1087506241721785,37.19675443574755
Apr-Jun 1999,1999-04-01,1999-06-30,45905285.0,28838627.813938983,27095401.196731646,1743226.6172073374,17066657.186061017,62.82202106781165,59.024578971095906,6.0447626997174915,37.17797893218835
May-Jul 1999,1999-05-01,1999-07-31,45923612.0,28838378.927902907,27115325.19630043,1723053.7316024809,17085233.072097093,62.79640836592494,59.04440878104368,5.974863344122718,37.20359163407507
Jun-Aug 1999,1999-06-01,1999-08-31,45945201.0,28875026.271087695,27170242.782936856,1704783.4881508364,17070174.728912305,62.84666437978515,59.13619309868044,5.904006708585477,37.15333562021484
Jul-Sep 1999,1999-07-01,1999-09-30,45965030.0,28920330.17092736,27217967.95843346,1702362.2124939007,17044699.82907264,62.9181144250909,59.214511463243824,5.886385813828738,37.081885574909094
Aug-Oct 1999,1999-08-01,1999-10-31,45986274.0,28899142.52192068,27212088.493927605,1687054.0279930795,17087131.47807932,62.84297467092177,59.174371235050714,5.837730398794391,37.15702532907824
Sep-Nov 1999,1999-09-01,1999-11-30,46007205.0,28963603.78970277,27270276.732089423,1693327.057613346,17043601.210297227,62.954495474573534,59.27392618632108,5.846396290696957,37.04550452542645
Oct-Dec 1999,1999-10-01,1999-12-31,46028111.0,29006478.963506408,27322283.052887693,1684195.9106187136,17021632.036493592,63.01905147379697,59.35999209893209,5.806274910986721,36.98094852620302
Nov-Jan 2000,1999-11-01,2000-01-31,46048952.0,29008384.640325665,27306631.70675344,1701752.933572223,17040567.359674335,62.99466845700563,59.29913824478229,5.866417433001598,37.00533154299436
Dec-Feb 2000,1999-12-01,2000-02-29,46069298.0,28993226.77925972,27308520.35205889,1684706.4272008291,17076071.22074028,62.93394524756969,59.27704900573673,5.810689648404304,37.06605475243031
Jan-Mar 2000,2000-01-01,2000-03-31,46090492.0,29044406.313861962,27361930.697636336,1682475.6162256286,17046085.68613804,63.01604746128977,59.36567285425449,5.792769864339204,36.98395253871024
Feb-Apr 2000,2000-02-01,2000-04-30,46112028.0,29061201.09674856,27406219.105923615,1654981.9908249488,17050826.903251436,63.02303836376175,59.43399215910351,5.694816209816298,36.976961636238244
Mar-May 2000,2000-03-01,2000-05-31,46131934.0,29081384.984718833,27441630.85634736,1639754.128371473,17050549.015281167,63.03959635578866,59.485108203673754,5.638500811543541,36.96040364421133
Apr-Jun 2000,2000-04-01,2000-06-30,46152393.0,29066922.85535249,27468086.488100156,1598836.3672523336,17085470.144647513,62.98031578850634,59.51606125407226,5.500535351501502,37.019684211493676
May-Jul 2000,2000-05-01,2000-07-31,46173611.0,29079696.45546794,27528229.1672912,1551467.2881767354,17093914.544532064,62.979038948173105,59.6189654027518,5.335225182121901,37.02096105182691
Jun-Aug 2000,2000-06-01,2000-08-31,46199970.0,29094279.179168247,27565237.834072817,1529041.3450954307,17105690.820831753,62.974671150583525,59.66505570041023,5.255470794376089,37.02532884941647
